competitor,market_share_percent,pricing_strategy,revenue_estimate,customer_satisfaction_score,product_quality_score,marketing_spend_estimate,competitive_advantage,threat_level,product_portfolio_breadth,innovation_investment_percent,customer_retention_rate,average_deal_size,sales_cycle_days,geographic_presence,partnership_ecosystem_score,brand_recognition_score,technical_capabilities_score,customer_support_rating,financial_stability_score,market_growth_rate_percent,pricing_flexibility_score,feature_completeness_score
TechCorp Solutions,28.5,Premium,8500000,4.2,4.5,1200000,Brand Recognition,High,9.2,15.2,85.2,125000,95,Global,8.8,9.5,8.2,4.1,9.2,12.5,6.8,8.5
InnovateTech,22.1,Value,6800000,3.8,4.1,950000,Cost Leadership,High,7.8,12.8,78.5,85000,75,Regional,7.5,7.8,7.8,3.9,8.5,18.2,8.5,7.8
GlobalSoft,18.2,Premium,5200000,4.5,4.8,1500000,Product Quality,Medium,8.5,18.5,88.2,185000,125,Global,9.2,8.8,9.1,4.6,9.5,8.5,7.2,9.2
StartupDisruptor,8.5,Penetration,2100000,4.1,3.8,800000,Innovation,Medium,6.2,25.8,65.2,45000,45,Limited,6.8,6.2,8.8,4.2,6.8,35.2,9.2,7.5
RegionalPlayer,12.8,Competitive,3800000,3.9,4.0,650000,Local Presence,Low,7.2,8.5,72.5,65000,85,Regional,7.2,7.5,7.2,3.8,7.8,15.8,7.8,7.5
NicheFocus,4.2,Premium,1200000,4.8,4.9,280000,Specialization,Low,4.5,22.5,92.5,285000,165,Limited,8.5,6.8,9.5,4.8,8.2,22.5,6.2,9.8
BudgetOption,5.7,Low Cost,1800000,3.2,3.1,320000,Price,Low,5.8,5.2,58.5,25000,35,Regional,5.2,5.8,5.8,3.1,6.5,25.8,9.8,5.2
CloudFirst,15.8,Subscription,4200000,4.3,4.4,850000,Cloud Native,Medium,8.2,16.8,82.5,95000,65,Global,8.2,8.1,8.8,4.3,8.8,28.5,8.2,8.5
DataDriven,9.2,Value Plus,2800000,4.0,4.2,580000,Analytics,Medium,6.8,20.2,75.8,125000,95,Regional,7.8,7.2,9.2,4.0,7.5,32.5,7.5,8.8
SecurityFirst,6.8,Premium,1950000,4.4,4.6,420000,Security,Low,5.2,18.8,85.8,165000,125,Limited,8.8,7.5,9.8,4.4,8.5,18.5,6.8,9.5
MobileCentric,7.5,Freemium,2250000,3.9,3.7,680000,Mobile First,Medium,6.5,22.8,68.5,35000,25,Global,7.2,7.8,7.5,3.8,7.2,42.5,8.8,7.2
OpenSource,3.8,Open Core,950000,4.6,4.3,180000,Community,Low,7.8,28.5,78.2,85000,85,Global,9.5,6.5,8.5,4.5,6.8,38.5,9.5,8.2
EnterpriseGiant,32.5,Enterprise,12500000,4.1,4.3,2200000,Market Dominance,High,9.8,12.5,82.8,485000,185,Global,9.8,9.8,8.5,4.0,9.8,5.2,5.8,8.8
AgileSolution,4.5,Agile Pricing,1350000,4.2,4.0,385000,Flexibility,Low,6.8,15.8,72.8,75000,55,Regional,7.5,6.8,7.8,4.1,7.2,28.8,9.2,7.8
IntegratedPlatform,11.2,Platform,3500000,4.3,4.4,750000,Integration,Medium,9.5,14.2,85.5,145000,105,Global,9.2,8.2,8.8,4.2,8.8,15.2,7.8,9.1
