metric,current_value,target_value,previous_period,variance_percent,benchmark_industry,performance_rating,q1_value,q2_value,q3_value,q4_forecast,yearly_trend,confidence_interval_lower,confidence_interval_upper,risk_factor,impact_score,controllability_score,measurement_frequency,data_quality_score,stakeholder_priority,improvement_initiatives,budget_allocated,resource_requirements,timeline_months,success_probability_percent,roi_projection
Total Revenue,15200000,18000000,14100000,7.8,16500000,Good,3450000,3680000,3920000,4150000,Positive,14800000,15600000,Medium,9.5,8.2,Monthly,9.2,Critical,Revenue Growth Program,850000,12 FTE,12,78,2.8
Gross Profit,9800000,12600000,9200000,6.5,11200000,Fair,6370000,6510000,6720000,6900000,Positive,9500000,10100000,Medium,9.2,7.8,Monthly,9.1,Critical,Margin Improvement,485000,8 FTE,9,82,3.2
Operating Margin,22.5,28.0,20.8,8.2,25.2,Fair,21.2,22.1,22.8,23.5,Positive,21.8,23.2,Low,8.8,8.5,Monthly,9.0,High,Cost Optimization,320000,6 FTE,6,85,4.1
Customer Acquisition Cost,285,220,320,-10.9,250,Good,315,295,275,255,Negative,270,300,Medium,8.5,8.8,Monthly,8.8,Critical,CAC Reduction,225000,5 FTE,8,88,3.8
Customer Lifetime Value,2850,3200,2650,7.5,3100,Good,2720,2780,2850,2920,Positive,2750,2950,Low,9.1,7.5,Quarterly,8.5,Critical,LTV Enhancement,185000,4 FTE,12,75,2.5
Monthly Recurring Revenue,1280000,1500000,1180000,8.5,1350000,Good,1220000,1250000,1280000,1310000,Positive,1250000,1310000,Low,9.8,8.2,Monthly,9.5,Critical,MRR Growth,420000,8 FTE,6,92,4.5
Churn Rate,18.5,12.0,22.1,-16.3,15.2,Fair,21.2,19.8,18.5,17.2,Negative,17.8,19.2,High,9.2,8.5,Monthly,9.2,Critical,Retention Program,385000,10 FTE,9,78,3.5
Net Promoter Score,42,55,38,10.5,48,Fair,39,40,42,44,Positive,40,44,Medium,7.8,7.2,Quarterly,8.2,High,Customer Experience,125000,6 FTE,12,82,2.8
Return on Marketing Investment,5.8,7.5,4.9,18.4,6.2,Good,5.2,5.5,5.8,6.1,Positive,5.5,6.1,Medium,8.5,9.1,Monthly,8.8,High,Marketing Optimization,285000,7 FTE,6,85,4.2
Sales Conversion Rate,4.2,6.0,3.8,10.5,5.1,Fair,3.9,4.0,4.2,4.4,Positive,4.0,4.4,Medium,8.8,8.8,Monthly,9.0,Critical,Sales Process Improvement,165000,5 FTE,8,88,3.8
Average Deal Size,125000,165000,115000,8.7,145000,Good,118000,121000,125000,128000,Positive,122000,128000,Low,8.2,7.8,Monthly,8.8,High,Deal Size Growth,95000,3 FTE,9,82,2.2
Sales Cycle Length,105,85,115,-8.7,95,Good,112,108,105,102,Negative,102,108,Medium,8.1,8.5,Monthly,8.5,High,Sales Acceleration,125000,4 FTE,6,85,3.1
Market Share,15.8,20.0,14.2,11.3,18.5,Fair,14.5,15.1,15.8,16.2,Positive,15.2,16.4,High,9.5,6.8,Quarterly,7.8,Critical,Market Expansion,685000,15 FTE,18,68,2.8
Employee Satisfaction,7.2,8.5,6.8,5.9,7.8,Fair,6.9,7.0,7.2,7.4,Positive,7.0,7.4,Medium,7.5,8.2,Quarterly,8.5,Medium,Culture Program,85000,3 FTE,12,78,1.8
Cash Flow,2850000,3500000,2450000,16.3,3200000,Good,2650000,2750000,2850000,2950000,Positive,2750000,2950000,Low,9.2,7.8,Monthly,9.5,Critical,Cash Management,65000,2 FTE,3,95,5.2
Debt to Equity Ratio,0.35,0.25,0.42,-16.7,0.30,Good,0.40,0.38,0.35,0.33,Negative,0.33,0.37,Low,7.8,8.5,Quarterly,9.2,Medium,Debt Reduction,0,1 FTE,12,92,3.8
Working Capital,1850000,2200000,1650000,12.1,2000000,Good,1720000,1785000,1850000,1915000,Positive,1800000,1900000,Medium,8.2,8.1,Monthly,9.0,High,Working Capital Optimization,45000,2 FTE,6,88,2.5
Inventory Turnover,4.8,6.0,4.2,14.3,5.5,Good,4.4,4.6,4.8,5.0,Positive,4.6,5.0,Medium,7.8,8.8,Monthly,8.8,Medium,Inventory Management,125000,3 FTE,9,82,2.8
Accounts Receivable Days,42,30,48,-12.5,35,Good,46,44,42,40,Negative,40,44,Medium,8.1,8.5,Monthly,9.1,High,Collections Improvement,85000,2 FTE,6,88,3.2
Customer Satisfaction Score,4.3,4.7,4.1,4.9,4.5,Fair,4.2,4.25,4.3,4.35,Positive,4.25,4.35,Low,8.5,7.8,Monthly,8.8,Critical,Customer Success Program,185000,8 FTE,12,82,2.5
