supplier_name,category,monthly_spend,contract_length_months,dependency_level,alternative_suppliers_available,price_increase_last_year_percent,service_quality_score,payment_terms_days,geographic_location,switching_cost_estimate,relationship_years
AWS Cloud Services,Infrastructure,45000,12,Critical,3,8.5,4.2,30,Global,25000,4
Microsoft Office 365,Software,12000,36,High,5,3.2,4.1,15,Global,8000,6
Salesforce CRM,Software,18000,24,High,8,5.1,3.9,30,Global,15000,3
DataDog Monitoring,Infrastructure,8500,12,Medium,4,12.0,4.3,15,US,5000,2
Stripe Payments,Financial,2500,0,Critical,2,0.0,4.5,7,Global,35000,5
Zendesk Support,Software,6000,12,Medium,6,4.8,3.8,30,Global,3000,2
GitHub Enterprise,Development,4200,12,Medium,3,6.2,4.4,15,Global,2000,3
Twilio Communications,Infrastructure,3800,0,Low,7,2.1,4.0,15,Global,1500,2
HubSpot Marketing,Software,9500,24,Medium,4,7.3,3.7,30,Global,6000,1
Slack Enterprise,Communication,5500,12,Low,5,4.5,4.2,15,Global,2000,3
